CountryName,Average
Afghanistan,0
Albania,26686.71094
Algeria,2285675.75
American Samoa,87.64226532
Andorra,0
Angola,1248198.625
Antigua and Barbuda,167.8600616
Arab World,13247809.63
Argentina,2690269.5
Armenia,0
Aruba,9.008321762
Australia,7641564.5
Austria,0
Azerbaijan,0
"Bahamas, The",12245.5166
Bahrain,115.1443634
Bangladesh,123889.625
Barbados,14.80739212
Belarus,198055.7813
Belgium,18091.89063
Belize,21296.04492
Benin,113916.9609
Bermuda,22.78402901
Bhutan,0
Bolivia,0
Bosnia and Herzegovina,49338.41797
Botswana,0
Brazil,8241430
British Virgin Islands,106.7865906
Brunei Darussalam,4743.62207
Bulgaria,103838.0078
Burkina Faso,0
Burundi,0
Cabo Verde,3913.569092
Cambodia,176298.1875
Cameroon,459153.1875
Canada,9084045
Caribbean small states,393218.2085
Cayman Islands,64.61621094
Central African Republic,0
Central Europe and the Baltics,829422.9101
Chad,0
Channel Islands,0
Chile,709418.75
China,8868577
Colombia,1090598.125
Comoros,1478.78833
"Congo, Dem. Rep.",2278811.75
"Congo, Rep.",338427.125
Costa Rica,46479.98438
Cote d'Ivoire,314812.3438
Croatia,51019.57031
Cuba,100440.7969
Curacao,0
Cyprus,6949.833984
Czech Republic,0
Denmark,33044.11719
Djibouti,21411.55273
Dominica,503.7093811
Dominican Republic,42784.17969
Early-demographic dividend,27317793.27
East Asia & Pacific,22098309.76
East Asia & Pacific (excluding high income),13813910.57
East Asia & Pacific (IDA & IBRD countries),13694589.53
Ecuador,244458.2344
"Egypt, Arab Rep.",951268.875
El Salvador,16349.95117
Equatorial Guinea,26800.91797
Eritrea,122239.8281
Estonia,40498.62109
Ethiopia,1117893.375
Euro area,2175027.394
Europe & Central Asia,22064738.74
Europe & Central Asia (excluding high income),18298350.99
Europe & Central Asia (IDA & IBRD countries),18627211.06
European Union,3433973.73
Faroe Islands,1379.931396
Fiji,17199.44379
Finland,289666.2813
Fragile and conflict affected situations,11752514.99
France,457993.5938
French Polynesia,3787.225342
Gabon,261381.75
"Gambia, The",10461.87305
Georgia,64912.71484
Germany,291859.2188
Ghana,224697.4844
Gibraltar,2.264643908
Greece,112653.5781
Greenland,242639.5938
Grenada,153.5099182
Guam,33.10237503
Guatemala,103568.3359
Guinea,243431.1875
Guinea-Bissau,33629.69922
Guyana,207343.4219
Haiti,26163.41602
Heavily indebted poor countries (HIPC),13878033.3
High income,32909276.44
Honduras,108150.5781
"Hong Kong SAR, China",231.1713409
Hungary,0
IBRD only,61057908.11
Iceland,88593.21875
IDA & IBRD total,79871809.23
IDA blend,3319019.272
IDA only,15494881.84
IDA total,18813901.12
India,2980489.25
Indonesia,1838682.625
"Iran, Islamic Rep.",1545056.125
Iraq,415377.6563
Ireland,63249.21484
Isle of Man,333.4710388
Israel,15621.7832
Italy,223236.4375
Jamaica,8015.424316
Japan,260649.5938
Jordan,86229.24219
